section_data_set_database_id,gene_name,gene_acronym,gene_entrez id,gene_database id,probe_name,probe_database_id,energy_file_name,reference_space_database_id,reference_space_name,annotation_file_name,atlas_file_name,classifications
100029264,"T cell leukemia, homeobox 3",Tlx3,27140,26885,RP_080717_03_C12,80928083,100029264_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100035693,nephroblastoma overexpressed gene,Nov,18133,17900,RP_071128_01_B06,79600379,100035693_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100036439,somatostatin,Sst,20604,20366,RP_071127_02_H04,79599547,100036439_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100040047,myocyte enhancer factor 2C,Mef2c,17260,17029,RP_071203_03_E12,79694125,100040047_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/Oxidative stress response
100042065,notch 3,Notch3,18131,17898,RP_080916_04_D11,1002395,100042065_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Alzheimer disease presenilin pathway/Transcription factor/Notch signaling pathway
100039184,cathepsin S,Ctss,13040,12821,RP_080103_03_H05,80260692,100039184_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042063,melanocortin 4 receptor,Mc4r,17202,16971,RP_080916_04_C08,1002380,100042063_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100042171,"gap junction protein, alpha 1",Gja1,14609,14385,RP_071126_03_E12,79537365,100042171_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100039971,fibroblast growth factor 15,Fgf15,14170,13947,RP_071128_02_C11,79600823,100039971_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/MAPKKK cascade
100037931,neuropeptide S receptor 1,Npsr1,319239,106174,RP_080225_02_F07,80752565,100037931_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor
100040020,dickkopf homolog 1 (Xenopus laevis),Dkk1,13380,13159,RP_071206_01_F03,79691849,100040020_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Wnt signaling pathway
100024749,acetylcholinesterase,Ache,11423,11212,RP_070130_05_E12,77506609,100024749_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process
100042178,myelocytomatosis oncogene,Myc,17869,17636,RP_071126_03_G05,79537433,100042178_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/Wnt signaling pathway/PDGF signaling pathway/Oxidative stress response
100040846,Eph receptor A8,Epha8,13842,13620,RP_080312_04_A02,80888211,100040846_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100030631,paired box gene 3,Pax3,18505,18271,RP_080807_04_H06,81026524,100030631_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100029362,dachshund 2 (Drosophila),Dach2,93837,60489,RP_071211_04_C06,79721190,100029362_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100029661,single-minded homolog 1 (Drosophila),Sim1,20464,20227,RP_080303_01_B09,80790190,100029661_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100036913,RE1-silencing transcription factor,Rest,19712,19475,RP_080303_01_A12,80790154,100036913_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100024820,suppression of tumorigenicity 18,St18,240690,88752,RP_070227_06_E07,77537820,100024820_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100039199,fibrinogen-like protein 2,Fgl2,14190,13967,RP_080103_02_B01,80260008,100039199_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100040053,"transducin-like enhancer of split 3, homolog of Drosophila E(spl)",Tle3,21887,21646,RP_071211_02_C05,79708346,100040053_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/Wnt signaling pathway
100042345,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",Slc1a1,20510,20272,RP_071206_03_B01,79692401,100042345_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100035714,"casein kinase 1, epsilon",Csnk1e,27373,27118,RP_080103_01_E08,80259796,100035714_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Parkinson disease/Wnt signaling pathway/Hedgehog signaling pathway
100023119,glycogen synthase kinase 3 alpha,Gsk3a,606496,143309,RP_070130_05_B08,77505501,100023119_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway/PDGF signaling pathway/Hedgehog signaling pathway
100036900,"zinc finger, DHHC domain containing 2",Zdhhc2,70546,46387,RP_080303_01_F10,80790378,100036900_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100040038,ephrin B3,Efnb3,13643,13421,RP_071206_04_B04,79692793,100040038_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100023645,"adrenergic receptor, beta 1",Adrb1,11554,11341,RP_070130_05_B09,77505505,100023645_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor/Calcium-mediated signaling
100042343,lymphoid-restricted membrane protein,Lrmp,16970,16740,RP_071206_02_H01,79692309,100042343_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100036385,kit ligand,Kitl,17311,17080,RP_071127_02_C05,79599331,100036385_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042045,prepronociceptin,Pnoc,18155,17922,RP_080916_04_B07,1002367,100042045_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100024836,PR domain containing 5,Prdm5,70779,46620,RP_070227_06_E05,77537812,100024836_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100042196,cadherin 13,Cdh13,12554,12339,RP_071126_04_D05,79537673,100042196_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/G-protein coupled receptor/Wnt signaling pathway/Cadherin signaling pathway
100042076,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",Sema3c,20348,20111,RP_080916_03_C10,1002288,100042076_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100023635,"cholinergic receptor, muscarinic 1, CNS",Chrm1,12669,12454,RP_070130_05_A01,77505425,100023635_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Neurological system process/Alzheimer disease amyloid secretase pathway/G-protein coupled receptor/Neurotransmitter secretion
100031987,LIM homeobox protein 1,Lhx1,16869,16640,RP_080807_03_E10,81026404,100031987_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100024821,lysosomal-associated protein transmembrane 4B,Laptm4b,114128,76980,RP_070227_06_B06,77537728,100024821_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100040885,"discoidin domain receptor family, member 1",Ddr1,12305,12090,RP_080312_02_E10,80887667,100040885_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100039202,transthyretin,Ttr,22139,21896,RP_080103_02_D05,80260120,100039202_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100040098,G-protein coupled receptor 88,Gpr88,64378,40979,RP_071206_04_H05,79693081,100040098_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100036897,MAD homolog 3 (Drosophila),Smad3,17127,16897,RP_080303_01_C02,80790210,100036897_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/TGF-beta signaling pathway/Wnt signaling pathway
100040905,deltex 4 homolog (Drosophila),Dtx4,207521,83873,RP_080312_03_B11,80887911,100040905_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100023059,steroid 5 alpha-reductase 1,Srd5a1,78925,54765,RP_070130_05_B02,77505477,100023059_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100040037,mitogen-activated protein kinase 8,Mapk8,26419,26167,RP_071206_04_A02,79692737,100040037_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Stress response/Alzheimer disease amyloid secretase pathway/TGF-beta signaling pathway/Parkinson disease/Huntington disease/MAPKKK cascade/FGF signaling pathway/PDGF signaling pathway/EGF receptor signaling pathway/Oxidative stress response
100036408,frizzled-related protein,Frzb,20378,20141,RP_071127_02_D12,79599403,100036408_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor/Wnt signaling pathway
100036400,kinase insert domain protein receptor,Kdr,16542,16315,RP_071127_02_D05,79599375,100036400_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Stress response
100036899,transformation related protein 63,Trp63,22061,21818,RP_080303_01_E10,80790330,100036899_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/Huntington disease
100040058,zinc finger and BTB domain containing 20,Zbtb20,56490,35770,RP_071211_02_C09,79708362,100040058_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100042188,Eph receptor B4,Ephb4,13846,13624,RP_071126_04_C11,79537649,100042188_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100024822,T-box brain gene 1,Tbr1,21375,21136,RP_070227_06_C02,77537760,100024822_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100042327,beta-transducin repeat containing protein,Btrc,12234,12019,RP_071127_03_H04,79599899,100042327_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Parkinson disease/Wnt signaling pathway/Hedgehog signaling pathway
100029259,patched homolog 1,Ptch1,19206,18969,RP_080717_03_C06,80928059,100029259_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Hedgehog signaling pathway
100039977,synaptoporin,Synpr,72003,47844,RP_071128_02_G10,79601003,100039977_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Neurotransmitter secretion
100023636,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",Chrnb2,11444,11233,RP_070822_02_C12,78981591,100023636_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100024794,CD109 antigen,Cd109,235505,88069,RP_070227_06_E11,77537836,100024794_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100039257,tribbles homolog 2 (Drosophila),Trib2,217410,85202,RP_080108_03_E08,80571701,100039257_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,MAPKKK cascade
100042044,tyrosine hydroxylase,Th,21823,21582,RP_080916_04_A03,1002352,100042044_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Parkinson disease
100040948,frizzled homolog 9 (Drosophila),Fzd9,14371,14147,RP_080225_03_E10,80752909,100040948_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/G-protein coupled receptor/Wnt signaling pathway/Cadherin signaling pathway
100024799,coagulation factor C homolog (Limulus polyphemus),Coch,12810,12593,RP_070227_06_E12,77537840,100024799_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100042075,reelin,Reln,19699,19462,RP_080916_04_A08,1002357,100042075_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100026262,wingless-related MMTV integration site 3A,Wnt3a,22416,22173,RP_080717_03_E07,80928159,100026262_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway
100026264,oligodendrocyte transcription factor 2,Olig2,50913,30397,RP_080807_03_E01,81026368,100026264_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Transcription factor
100041808,microphthalmia-associated transcription factor,Mitf,17342,17111,RP_080625_04_G08,1002220,100041808_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100036888,MAD homolog 1 (Drosophila),Smad1,17125,16895,RP_080303_01_C01,80790206,100036888_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/TGF-beta signaling pathway/Wnt signaling pathway
100039965,anterior pharynx defective 1a homolog (C. elegans),Aph1a,226548,86431,RP_071128_04_C06,79601543,100039965_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Alzheimer disease amyloid secretase pathway/Notch signaling pathway
100035719,neuregulin 4,Nrg4,83961,58177,RP_080102_04_D11,80259376,100035719_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100042183,"transforming growth factor, beta 1",Tgfb1,21803,21562,RP_071126_03_H05,79537481,100042183_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100037938,G protein-coupled receptor 165,Gpr165,76206,52047,RP_080225_02_F05,80752557,100037938_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100023082,"sodium channel, voltage-gated, type X, alpha",Scn10a,20264,20027,RP_071005_06_H06,79280909,100023082_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Sodium channel
100024815,"glutamate receptor, ionotropic, kainate 4",Grik4,110637,74793,RP_070227_06_F02,77537848,100024815_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Ligand-gated ion channel activity/Huntington disease
100039968,cannabinoid receptor 2 (macrophage),Cnr2,12802,12585,RP_071128_04_D09,79601595,100039968_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100040051,prostaglandin D2 synthase (brain),Ptgds,19215,18978,RP_071203_03_F01,79694129,100040051_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100036502,DNA-damage-inducible transcript 4-like,Ddit4l,73284,49125,RP_080102_04_G10,80259516,100036502_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100023052,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",Slc6a4,15567,15342,RP_080319_02_H08,80183871,100023052_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100023648,androgen receptor,Ar,11835,11622,RP_080319_02_H11,80183883,100023648_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Transcription factor
100039185,phosphatase and tensin homolog,Pten,19211,18974,RP_080107_02_A01,80569569,100039185_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Hypoxia response via HIF activation/Inflammation mediated by chemokine and cytokine signaling pathway
100029344,Purkinje cell protein 2 (L7),Pcp2,18545,18311,RP_071128_01_F08,79600579,100029344_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100041793,calcitonin receptor,Calcr,12311,12096,RP_080625_04_F08,1002208,100041793_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100024695,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2",Gabra2,14395,14171,RP_070130_05_A02,77505429,100024695_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100040939,dopamine receptor D3,Drd3,13490,13269,RP_080225_03_D09,80752861,100040939_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100041758,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)",Grin2d,14814,14590,RP_080625_04_C09,1002175,100041758_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Ligand-gated ion channel activity/Huntington disease
100040354,bone morphogenetic protein 15,Bmp15,12155,11941,RP_071206_01_G04,79691897,100040354_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100024844,poliovirus receptor-related 3,Pvrl3,58998,37561,RP_070227_06_E10,77537832,100024844_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100041848,H6 homeobox 3,Hmx3,15373,15148,RP_080625_04_H12,1002235,100041848_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100026265,arginine vasopressin,Avp,11998,11784,RP_080807_03_E02,81026372,100026265_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100029630,homeobox A1,Hoxa1,15394,15169,RP_080228_04_A09,80754623,100029630_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100023633,"calcium channel, voltage-dependent, N type, alpha 1B subunit",Cacna1b,12287,12072,RP_070130_05_B10,77505509,100023633_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Neurotransmitter secretion/Calcium channel
100029285,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",Slc17a6,140919,80230,RP_080717_03_D04,80928099,100029285_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100023096,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",Gabrb2,14401,14177,RP_070822_02_D04,78981607,100023096_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100024834,pleiomorphic adenoma gene-like 1,Plagl1,22634,22391,RP_070227_06_E04,77537808,100024834_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100040914,"discoidin domain receptor family, member 2",Ddr2,18214,17981,RP_080312_02_E11,80887671,100040914_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100036799,neurogenic differentiation 1,Neurod1,18012,17779,RP_071128_01_G04,79600607,100036799_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Transcription factor
100041953,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",Gria1,14799,14575,RP_080916_01_E09,1002468,100041953_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Ligand-gated ion channel activity
100036898,MAD homolog 7 (Drosophila),Smad7,17131,16901,RP_080303_01_C03,80790214,100036898_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Transcription factor/TGF-beta signaling pathway
100024832,plakophilin 2,Pkp2,67451,43294,RP_070227_06_E09,77537828,100024832_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100030632,wingless related MMTV integration site 8b,Wnt8b,22423,22180,RP_080807_04_H08,81026532,100030632_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway
100035712,inhibin beta-C,Inhbc,16325,16098,RP_080103_01_D09,80259752,100035712_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100024845,"reprimo, TP53 dependent G2 arrest mediator candidate",Rprm,67874,43717,RP_070227_06_B05,77537724,100024845_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100039970,aquaporin 4,Aqp4,11829,11616,RP_071128_04_F11,79601699,100039970_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100030621,Iroquois related homeobox 1 (Drosophila),Irx1,16371,16144,RP_080807_04_G11,81026496,100030621_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100024790,adenylate cyclase activating polypeptide 1,Adcyap1,11516,11303,RP_070227_06_B03,77537716,100024790_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100024809,epidermal growth factor-containing fibulin-like extracellular matrix protein 1,Efemp1,216616,85011,RP_070227_06_B08,77537736,100024809_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process
100030461,"basic helix-loop-helix family, member e23",Bhlhe23,140489,79902,RP_080717_03_C07,80928063,100030461_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Transcription factor
100040902,deleted in colorectal carcinoma,Dcc,13176,12956,RP_080312_02_E01,80887631,100040902_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100042176,low density lipoprotein receptor-related protein 5,Lrp5,16973,16743,RP_071126_03_F09,79537401,100042176_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway
100037104,notch 1,Notch1,18128,17895,RP_080228_04_G04,80754887,100037104_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Alzheimer disease presenilin pathway/Transcription factor/Notch signaling pathway
100033676,calcium/calmodulin-dependent protein kinase II alpha,Camk2a,12322,12107,RP_071128_02_A09,79600719,100033676_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Neurological system process/Inflammation mediated by chemokine and cytokine signaling pathway/Calcium-mediated signaling
100040887,"double C2, beta",Doc2b,13447,13226,RP_080312_03_A10,80887859,100040887_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Neurotransmitter secretion
100036705,"protease, serine, 12 neurotrypsin (motopsin)",Prss12,19142,18905,RP_080103_01_H04,80259924,100036705_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100040845,Eph receptor A6,Epha6,13840,13618,RP_080312_04_A01,80888207,100040845_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100040852,fibroblast growth factor 18,Fgf18,14172,13949,RP_080312_04_E10,80888435,100040852_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/MAPKKK cascade/FGF signaling pathway
100041861,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A",Sema3a,20346,20109,RP_080916_01_E01,1002460,100041861_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
